Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
333,-9.251908,5.351145,-7.374045,-0.274171,-0.908695,-0.033203
334,-9.038168,4.931297,-4.251908,-0.257325,-0.922367,-0.034180
335,-8.725191,4.015267,-3.167939,-0.263185,-0.955570,-0.042481
336,-8.977099,3.671756,-4.145038,-0.255860,-0.982426,-0.025391
337,-9.549619,3.160305,-7.877862,-0.248780,-0.974369,-0.030518
338,-10.549619,3.618321,-5.221374,-0.251222,-0.972172,-0.047119
339,-11.740458,4.106870,-2.564885,-0.251710,-0.976322,-0.041748
340,-12.854961,4.648855,-0.160305,-0.242188,-0.982914,-0.032471
341,-14.022901,5.038168,2.312977,-0.242188,-0.979740,-0.042481
342,-15.061069,6.320610,1.687023,-0.318849,-0.989262,-0.058838
343,-14.748091,7.404580,-2.900763,-0.308351,-0.971195,-0.064698
344,-13.893129,8.374045,-7.465649,-0.280030,-0.944584,-0.072022
345,-12.854961,8.641221,-11.381679,-0.255128,-0.934085,-0.059815
346,-11.702290,9.114504,-12.435115,-0.242677,-0.931400,-0.064209
347,-8.221374,7.679389,-17.343512,-0.253663,-0.947269,-0.068848
348,-7.274810,7.770992,-19.717557,-0.241212,-0.946537,-0.065186
349,-7.389313,7.916030,-20.312977,-0.222169,-0.948734,-0.067627
350,-8.412213,7.267175,-20.396946,-0.207520,-0.942875,-0.066651
351,-9.442748,7.442748,-19.618320,-0.197511,-0.939212,-0.054444
352,-10.877862,6.419848,-11.709924,-0.195313,-0.937503,-0.072998
353,-11.030534,6.389313,-11.160304,-0.198975,-0.941898,-0.064698
354,-11.618320,6.480916,-9.870229,-0.197022,-0.943851,-0.068848
355,-11.847328,5.625954,-7.244274,-0.189210,-0.950931,-0.061035
356,-12.229008,4.862596,-4.786260,-0.180665,-0.967289,-0.058350
357,-12.923664,2.625954,-9.290076,-0.219727,-1.031010,-0.042481
358,-13.870229,2.251908,-10.511451,-0.220704,-1.022709,-0.043945
