DATA;DATE_TIME;TEMPERATURE;GAS_PRESENCE;POS(XYZ);VELOCITY(XYZ)
DATA;02/06/2023 23:19:22;28.69;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006711859601109363, -0.0040669644323656695, 0.0015526561115920142]
DATA;02/06/2023 23:19:23;28.66;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006639565434181723, -0.00416287403391504, 0.0016083067564897225]
DATA;02/06/2023 23:19:24;28.67;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006574852336917373, -0.00426283447371117, 0.0016123147947802127]
DATA;02/06/2023 23:19:25;28.66;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006576070484465089, -0.0042609921767547965, 0.0016122166892129752]
DATA;02/06/2023 23:19:26;28.64;False;[0.5443426653331204,-0.08227645350664327,0.026382162032340277];[0.006525482525647869, -0.004336897440772779, 0.001615363239546505]
DATA;02/06/2023 23:19:27;28.64;False;[0.5507671143955697,-0.08679479739820423,0.02790236686116516];[0.006424449062449366, -0.00451834389156096, 0.001520204828824884]
DATA;02/06/2023 23:19:28;28.62;False;[0.58285446124301,-0.10943907760788422,0.035494349526200696];[0.0064149894776214115, -0.00453352222411867, 0.001514954205718421]
DATA;02/06/2023 23:19:29;28.62;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006410594968992312, -0.004535718809031249, 0.0015269338652757222]
DATA;02/06/2023 23:19:30;28.62;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006363473832004056, -0.004586456616118771, 0.0015718194864090516]
DATA;02/06/2023 23:19:31;28.62;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006331676568282842, -0.004653831142271499, 0.0015005757341358147]
DATA;02/06/2023 23:19:32;28.61;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.00618535900419764, -0.004844872190366538, 0.0015061697939473555]
DATA;02/06/2023 23:19:33;28.61;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006161106057109794, -0.004903119906887829, 0.001414279792587217]
DATA;02/06/2023 23:19:34;28.62;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006155836870622311, -0.004897384579406781, 0.0014564671996549598]
DATA;02/06/2023 23:19:35;28.61;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006089043800230163, -0.004991739622753386, 0.0014163619373265648]
DATA;02/06/2023 23:19:36;28.62;False;[0.6085068344182264,-0.12758592616861725,0.041548072517128457];[0.006041739823820138, -0.005040655679402277, 0.0014453962166029643]
DATA;02/06/2023 23:19:37;28.61;False;[0.6326252991006358,-0.14779961522744045,0.047353781029119496];[0.006026982974678692, -0.00505637991932997, 0.001452066917991207]
DATA;02/06/2023 23:19:38;28.62;False;[0.6627323264315027,-0.17310508117492857,0.05464756565955145];[0.00602373280447765, -0.0050555803118916155, 0.0014682475303123565]
DATA;02/06/2023 23:19:39;28.6;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.005977278021770026, -0.005127298256294004, 0.0014081761400705868]
DATA;02/06/2023 23:19:40;28.62;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.00596244044417173, -0.005201402614175828, 0.0011809804380026108]
DATA;02/06/2023 23:19:41;28.61;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.005954528274853213, -0.005250456554579413, 0.00098807843435743]
DATA;02/06/2023 23:19:42;28.61;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.005931402467049667, -0.005305939955937027, 0.0008157609685824413]
DATA;02/06/2023 23:19:43;28.6;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.005939279262338604, -0.0053317058079920985, 0.0005457792786213391]
DATA;02/06/2023 23:19:44;28.61;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.005915987241857493, -0.005360513542607816, 0.0005157417121892469]
DATA;02/06/2023 23:19:45;28.62;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.0059814992019560885, -0.0052902521927461876, 0.00048466383621727666]
DATA;02/06/2023 23:19:46;28.62;False;[0.668751429506175,-0.17816604100575353,0.05611626704759492];[0.005861001149655589, -0.005415841737541577, 0.0005633150074624347]
DATA;02/06/2023 23:19:47;28.62;False;[0.6746498084721628,-0.18354964823859535,0.05659155510349429];[0.005898378965987733, -0.005383607232841824, 0.0004752880558993752]
DATA;02/06/2023 23:19:48;28.61;False;[0.7041379797359384,-0.2104649984846479,0.05904245189544966];[0.005894568985282246, -0.005385736746466798, 0.0004978917307004073]
DATA;02/06/2023 23:19:49;28.61;False;[0.7276875368223733,-0.23204378112753127,0.06098496840660776];[0.005884254081034066, -0.00539859177367901, 0.0004803756561205381]
DATA;02/06/2023 23:19:50;28.62;False;[0.7276875368223733,-0.23204378112753127,0.06098496840660776];[0.005903745501943372, -0.005366567775436204, 0.0005879960543464788]
DATA;02/06/2023 23:19:51;28.61;False;[0.7276875368223733,-0.23204378112753127,0.06098496840660776];[0.005767412678024489, -0.005523481285236279, 0.0004776039080670203]
DATA;02/06/2023 23:19:52;28.62;False;[0.7276875368223733,-0.23204378112753127,0.06098496840660776];[0.005653287083025428, -0.005647640610692444, 0.0003801324628982052]
DATA;02/06/2023 23:19:53;28.62;False;[0.7276875368223733,-0.23204378112753127,0.06098496840660776];[0.005549773669506748, -0.00573794795176164, 0.0005253242047705087]
DATA;02/06/2023 23:19:54;28.62;False;[0.7276875368223733,-0.23204378112753127,0.06098496840660776];[0.00542937491226719, -0.005843757189372578, 0.0006102376370675131]
DATA;02/06/2023 23:19:55;28.62;False;[0.7330015669918926,-0.23799334386451038,0.06158811564914668];[0.005314030169519296, -0.0059495627369791065, 0.00060314724253892]
DATA;02/06/2023 23:19:56;28.61;False;[0.7648666077103777,-0.27371042271338625,0.06518091630255256];[0.0053065320006742585, -0.0059572794896705136, 0.0005929074192190153]
DATA;02/06/2023 23:19:57;28.62;False;[0.7807831798564101,-0.2915856204579157,0.06695292799729571];[0.005293895821017397, -0.00597196298091372, 0.000557068389701312]
DATA;02/06/2023 23:19:58;28.62;False;[0.7807831798564101,-0.2915856204579157,0.06695292799729571];[0.004864819845315314, -0.006349388628591681, 0.00013708360854150845]
DATA;02/06/2023 23:19:59;28.61;False;[0.7807831798564101,-0.2915856204579157,0.06695292799729571];[0.00471708397692343, -0.006461083218295499, -5.93498180815315e-05]
DATA;02/06/2023 23:20:00;28.62;False;[0.7807831798564101,-0.2915856204579157,0.06695292799729571];[0.004619964552735099, -0.006525053570845029, -0.0002821407965316781]
DATA;02/06/2023 23:20:01;28.62;False;[0.7807831798564101,-0.2915856204579157,0.06695292799729571];[0.0045769512677058055, -0.006548969109186686, -0.0004031385617358583]
DATA;02/06/2023 23:20:02;28.62;False;[0.7807831798564101,-0.2915856204579157,0.06695292799729571];[0.004516941063499061, -0.0065835720530397724, -0.0005038079508137002]
DATA;02/06/2023 23:20:03;28.62;False;[0.8077260431675586,-0.331171215921672,0.06363577460240218];[0.0044673272764490755, -0.006609579512053332, -0.000597030718583549]
DATA;02/06/2023 23:20:04;28.64;False;[0.8255604805633401,-0.3576265119610147,0.06117630842339987];[0.004441867942363066, -0.006621399511134739, -0.0006533587808741922]
DATA;02/06/2023 23:20:05;28.62;False;[0.8255604805633401,-0.3576265119610147,0.06117630842339987];[0.0043551341631615295, -0.0066920447494376745, -0.0004993430608113784]
DATA;02/06/2023 23:20:06;28.62;False;[0.8255604805633401,-0.3576265119610147,0.06117630842339987];[0.004348286228529106, -0.006704031628829088, -0.00038518410460034233]
DATA;02/06/2023 23:20:07;28.62;False;[0.8255604805633401,-0.3576265119610147,0.06117630842339987];[0.004361049127778395, -0.00669668817733707, -0.00036826343914442]
DATA;02/06/2023 23:20:08;28.62;False;[0.8429927102706117,-0.3844258252530875,0.0597951551627709];[0.004355773354233029, -0.006702475760446024, -0.0003225789317053982]
DATA;02/06/2023 23:20:09;28.62;False;[0.8647701222884175,-0.4179368439362148,0.058135561171928564];[0.00436243456137084, -0.0066982947395363215, -0.00031939361303943953]
DATA;02/06/2023 23:20:10;28.62;False;[0.8691315243463491,-0.4246357548517513,0.057814991936397976];[0.004275650929965645, -0.006754993786423025, -0.0002981074813944223]
DATA;02/06/2023 23:20:11;28.62;False;[0.8691315243463491,-0.4246357548517513,0.057814991936397976];[0.004401637576168918, -0.006678883180131166, -0.00013455896184139433]
DATA;02/06/2023 23:20:12;28.62;False;[0.8691315243463491,-0.4246357548517513,0.057814991936397976];[0.004310986598246002, -0.0067380124398822685, -0.00012075971897988945]
DATA;02/06/2023 23:20:13;28.64;False;[0.8776566655384828,-0.4381735588571306,0.05759196148169645];[0.004263777015250325, -0.006768215998952677, -0.00010704090683883748]
DATA;02/06/2023 23:20:14;28.61;False;[0.9030832879031455,-0.4788826695007469,0.057096527403640636];[0.004232541985553531, -0.006788288318774467, -6.87752986872149e-05]
DATA;02/06/2023 23:20:15;28.62;False;[0.9115337084730324,-0.4924682521506248,0.056947407004908836];[0.004158684008832682, -0.0068325617137315765, -0.0001464504787346388]
DATA;02/06/2023 23:20:16;28.62;False;[0.9115337084730324,-0.4924682521506248,0.056947407004908836];[0.004102857421736697, -0.006863516103548179, -0.00024229666367438284]
DATA;02/06/2023 23:20:17;28.62;False;[0.9115337084730324,-0.4924682521506248,0.056947407004908836];[0.0040513947950867905, -0.006891194563199505, -0.00031247032893674283]
DATA;02/06/2023 23:20:18;28.62;False;[0.9115337084730324,-0.4924682521506248,0.056947407004908836];[0.004025425193585612, -0.006904947774358021, -0.00034299889828817254]
DATA;02/06/2023 23:20:19;28.64;False;[0.9115337084730324,-0.4924682521506248,0.056947407004908836];[0.004006408723914495, -0.006915286029141489, -0.0003570830044889719]
DATA;02/06/2023 23:20:20;28.66;False;[0.9235383282334443,-0.5132246486148995,0.05591751163525285];[0.004003252289940377, -0.006918276225500612, -0.00033380409037706867]
DATA;02/06/2023 23:20:21;28.64;False;[0.9435189264344022,-0.5478332608962306,0.05418016017315164];[0.003995568013012651, -0.006922322582984124, -0.00034188639997878925]
DATA;02/06/2023 23:20:22;28.64;False;[0.9515086987882435,-0.5616790369486453,0.053503395570669236];[0.003984273148960084, -0.006930296150117036, -0.00031074546841583956]
DATA;02/06/2023 23:20:23;28.66;False;[0.9515086987882435,-0.5616790369486453,0.053503395570669236];[0.003934081150349262, -0.006957446622770132, -0.0003419678256260648]
DATA;02/06/2023 23:20:24;28.64;False;[0.9515086987882435,-0.5616790369486453,0.053503395570669236];[0.0039267350548305375, -0.00696130420317388, -0.0003478442180500845]
DATA;02/06/2023 23:20:25;28.66;False;[0.9515086987882435,-0.5616790369486453,0.053503395570669236];[0.003925845085502299, -0.006962454772930855, -0.00033461007086159784]
DATA;02/06/2023 23:20:26;28.66;False;[0.9515086987882435,-0.5616790369486453,0.053503395570669236];[0.003918704811208129, -0.0069666789599598915, -0.0003303587011999098]
DATA;02/06/2023 23:20:27;28.66;False;[0.9515086987882435,-0.5616790369486453,0.053503395570669236];[0.003902806244963502, -0.006974713749619425, -0.00034852765332977565]
DATA;02/06/2023 23:20:28;28.66;False;[0.9554093600384972,-0.5686557357698605,0.05317095705181887];[0.0039006612502536517, -0.006976698821215236, -0.0003324385188503659]
DATA;02/06/2023 23:20:29;28.66;False;[0.9787368638652787,-0.6105624483991839,0.051262479569312576];[0.0038768256933763567, -0.006990241678424867, -0.0003267167280393036]
DATA;02/06/2023 23:20:30;28.66;False;[0.9903563033795102,-0.6315352235956464,0.05019981043983881];[0.0038612122047584204, -0.006990131463167961, -0.0004786464639437156]
DATA;02/06/2023 23:20:31;28.66;False;[0.9903563033795102,-0.6315352235956464,0.05019981043983881];[0.0038636856138073764, -0.006985046424046311, -0.0005301508573675012]
DATA;02/06/2023 23:20:32;28.66;False;[0.9903563033795102,-0.6315352235956464,0.05019981043983881];[0.0038174980157434767, -0.007001855216441674, -0.0006330343022103557]
DATA;02/06/2023 23:20:33;28.66;False;[0.9903563033795102,-0.6315352235956464,0.05019981043983881];[0.003806378636705845, -0.007007248656321988, -0.000640271772370853]
DATA;02/06/2023 23:20:34;28.66;False;[0.9903563033795102,-0.6315352235956464,0.05019981043983881];[0.0037779866851348856, -0.00701310380896275, -0.0007370153130345543]
DATA;02/06/2023 23:20:35;28.66;False;[0.9903563033795102,-0.6315352235956464,0.05019981043983881];[0.00377939569584066, -0.007012023538246818, -0.000740063560328082]
DATA;02/06/2023 23:20:36;28.67;False;[1.0016892705721459,-0.6525724501006935,0.047963991798567134];[0.0037775582145814788, -0.007012102290773837, -0.0007486490493977545]
DATA;02/06/2023 23:20:37;28.66;False;[1.024318947688066,-0.6946065906246334,0.04296131378256731];[0.0037680670514337127, -0.007006821584097929, -0.000840310647624411]
DATA;02/06/2023 23:20:38;28.66;False;[1.0280917056322219,-0.7016110916362411,0.04212270596410489];[0.003629198009009456, -0.007040002300251247, -0.001125739500884142]
DATA;02/06/2023 23:20:39;28.67;False;[1.0280917056322219,-0.7016110916362411,0.04212270596410489];[0.0035425462017995885, -0.0070975704676475475, -0.0010367544863103635]
DATA;02/06/2023 23:20:40;28.67;False;[1.0280917056322219,-0.7016110916362411,0.04212270596410489];[0.0034986275644960244, -0.007107576770717955, -0.0011144315202340186]
DATA;02/06/2023 23:20:41;28.67;False;[1.0280917056322219,-0.7016110916362411,0.04212270596410489];[0.0035030313405380103, -0.007104555231426659, -0.001119851057421724]
DATA;02/06/2023 23:20:42;28.67;False;[1.0280917056322219,-0.7016110916362411,0.04212270596410489];[0.003479731718846036, -0.007101235372683926, -0.0012099270005216033]
DATA;02/06/2023 23:20:43;28.69;False;[1.0454299033199568,-0.7371053959017732,0.035834917847590186];[0.0034635413739168364, -0.007096635740158916, -0.0012812659063040858]
DATA;02/06/2023 23:20:44;28.69;False;[1.0627358176787254,-0.7725860906413119,0.029383169655160468];[0.003458488234478934, -0.007096179368232335, -0.001297342478236326]
